Probe	Chromosome	Position	Feature	SampleA	SampleB
CHR0100P003207087	1	3207087	Xkr4	1.0236520521685724	0.8161405276999335
CHR0100P003207287	1	3207287	Xkr4	0.29446859307914636	0.2888193937879684
CHR0100P003210651	1	3210651	Xkr4	1.0351347787697285	1.5540134860223116
CHR0100P003210836	1	3210836	Xkr4	0.8616219116276116	0.8752328035205403
CHR0100P003214618	1	3214618	Xkr4	0.8601031152558296	0.8536634174093595
CHR0100P003223736	1	3223736	Xkr4	0.7628967412501184	0.718435019549962
CHR0100P003234186	1	3234186	Xkr4	0.7861957608999635	1.2922895104858299
CHR0100P003243573	1	3243573	Xkr4	0.1582004508612462	0.22368391759957545
CHR0100P003255759	1	3255759	Xkr4	0.8392989392383077	0.8227612371800027
CHR0100P003256032	1	3256032	Xkr4	12.447325696202904	0.987212162384714
CHR0100P003260519	1	3260519	Xkr4	1.1750993493977635	1.148656259907171
CHR0100P003299522	1	3299522	Xkr4	0.8628524206608095	1.000655610295649
CHR0100P003311312	1	3311312	Xkr4	1.0923776209544405	0.7151186277344127
CHR0100P003312157	1	3312157	Xkr4	1.0809667593901708	0.9997990529931486
CHR0100P003348459	1	3348459	Xkr4	1.7433794612715703	1.2880374298330748
CHR0100P003370549	1	3370549	Xkr4	1.023802437338384	0.9585130995576473
CHR0100P003370663	1	3370663	Xkr4	1.1814655007383212	1.325347625153383
CHR0100P003377705	1	3377705	Xkr4	1.7728991190758772	1.4919852615131879
CHR0100P003389662	1	3389662	Xkr4	1.4584808589275255	0.8429571657725521
CHR0100P003389822	1	3389822	Xkr4	0.4257699839870542	0.9405940759912762
CHR0100P003390379	1	3390379	Xkr4	0.748070505626814	0.7652480326940538
CHR0100P003404839	1	3404839	Xkr4	1.6660648614373574	1.2479551206626462
CHR0100P003405623	1	3405623	Xkr4	1.0491943840460802	0.8497029896369843
CHR0100P003422666	1	3422666	Xkr4	0.9419439069641155	1.2677302763496836
CHR0100P003429076	1	3429076	Xkr4	1.1109197332360377	1.2199056512091873
CHR0100P003437288	1	3437288	Xkr4	0.5379886172830526	0.8051599126408583
CHR0100P003440499	1	3440499	Xkr4	1.2765994854392408	0.9604872665089956
CHR0100P003456550	1	3456550	Xkr4	1.399943067332158	2.951411840707316
CHR0100P003456750	1	3456750	Xkr4	0.6863981101648797	0.6032420433577822
CHR0100P003461944	1	3461944	Xkr4	1.517749679841557	1.214839146980153
CHR0100P003466908	1	3466908	Xkr4	0.7075281080215744	0.5462065384013277
CHR0100P003474046	1	3474046	Xkr4	0.6558689632188278	0.6854515569940773
CHR0100P003474136	1	3474136	Xkr4	0.48861943415786135	0.7601405120101797
CHR0100P003475741	1	3475741	Xkr4	1.295950308290037	1.0381292952988292
CHR0100P003482402	1	3482402	Xkr4	1.26168776345793	0.8080162688408433
CHR0100P003486715	1	3486715	Xkr4	0.9881885602034952	0.6712231136497233
CHR0100P003486878	1	3486878	Xkr4	0.7569968493950963	1.0566086275330286
CHR0100P003495329	1	3495329	Xkr4	0.8794767495233642	0.8575224802470242
CHR0100P003496650	1	3496650	Xkr4	1.934921489714393	1.8460974346246595
CHR0100P003504727	1	3504727	Xkr4	1.324460312041094	1.2994385705325755
CHR0100P003515253	1	3515253	Xkr4	1.553590760979223	1.5103564692749079
CHR0100P003524124	1	3524124	Xkr4	1.557417913664929	1.3603193774838667
CHR0100P003537060	1	3537060	Xkr4	1.2174596874924193	0.8441938987141294
CHR0100P003537703	1	3537703	Xkr4	0.5463407636071705	0.9781998238827595
CHR0100P003538900	1	3538900	Xkr4	1.3770188246822141	1.2016310876416856
CHR0100P003539012	1	3539012	Xkr4	1.5011579624386115	1.0264816993806058
CHR0100P003541360	1	3541360	Xkr4	1.4444856280444296	1.3793446165014394
CHR0100P003575914	1	3575914	Xkr4	0.5361592444381585	0.6887696551636173
CHR0100P003576125	1	3576125	Xkr4	1.3610158994310861	1.2713770448193398
CHR0100P003599752	1	3599752	Xkr4	0.9733762899675297	0.7895343701102399
CHR0100P003605838	1	3605838	Xkr4	1.4704926351906096	0.6798062244229842
CHR0100P003615503	1	3615503	Xkr4	1.0259721905827754	0.9191169552219285
CHR0100P003622887	1	3622887	Xkr4	1.5235360862405052	1.6545082564437905
CHR0100P003624563	1	3624563	Xkr4	1.1543321095650636	1.0655550676071235
CHR0100P003624848	1	3624848	Xkr4	1.1931258348755553	1.6737577787925662
CHR0100P003625594	1	3625594	Xkr4	0.15206046666185863	0.3317464391634189
CHR0100P003625852	1	3625852	Xkr4	1.6352110742038861	1.0838570954769535
CHR0100P003638118	1	3638118	Xkr4	1.38231817443595	1.1071000377179518
CHR0100P003638692	1	3638692	Xkr4	1.3244114616793712	1.2383673265708863
CHR0100P003646637	1	3646637	Xkr4	1.7591190668623962	0.8448914580927389
CHR0100P003652107	1	3652107	Xkr4	1.4352573380186242	1.0661651969908281
CHR0100P003653551	1	3653551	Xkr4	2.2204714090661706	1.253334099129485
CHR0100P003654469	1	3654469	Xkr4	1.4283083200027258	1.0005713248411259
CHR0100P004340739	1	4340739	Rp1h	0.5066654295532926	0.7669876296839291
CHR0100P004340863	1	4340863	Rp1h	0.8986028258272714	0.6340513114946256
CHR0100P004343957	1	4343957	Rp1h	0.934937976521237	1.5101897318517048
CHR0100P004346314	1	4346314	Rp1h	1.8062617271790868	1.3208210389587076
CHR0100P004346540	1	4346540	Rp1h	0.813348959619126	0.8104125298540025
