Accession	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	Description
NM_006941	884	704	376	999	614	628	574	574	134	47	Transcription factor SOX-10. [Source:Uniprot/SWISSPROT;Acc:P56693]
NM_001003891	211	471	566	760	912	237	483	903	212	957	Positive cofactor 2 glutamine/Q-rich-associated protein (PC2 glutamine/Q-rich-associated protein) (TPA-inducible gene 1 protein) (TIG-1) (Activator-recruited cofactor 105 kDa component) (ARC105) (CTG repeat protein 7a). [Source:Uniprot/SWISSPROT;Acc:Q96RN5]
NM_152843	71	84	256	760	736	212	465	464	295	525	Hermansky-Pudlak syndrome 4 protein (Light-ear protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NQG7]
NM_032050	554	133	427	871	823	834	529	760	121	371	Zinc finger protein 278 (POZ-, AT hook-, and zinc finger-containing protein) (Zinc finger sarcoma gene protein) (BTB-POZ domain zinc finger transcription factor) (Protein kinase A RI-alpha subunit- associated protein) (Zinc finger and BTB domain containin [Source:Uniprot/SWISSPROT;Acc:Q9HBE1]
NM_015166	640	230	388	279	582	37	187	859	977	230	Membrane protein MLC1. [Source:Uniprot/SWISSPROT;Acc:Q15049]
NM_014292	127	537	303	613	581	324	632	149	614	662	Chromobox protein homolog 6. [Source:Uniprot/SWISSPROT;Acc:O95503]
NM_007098	222	820	522	436	601	986	887	432	322	762	Clathrin heavy chain 2 (CLH-22). [Source:Uniprot/SWISSPROT;Acc:P53675]
NM_177405	553	27	16	463	440	385	932	625	585	942	Cat eye syndrome critical region protein 1 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9NZK5]
NM_018943	596	655	335	476	750	622	79	510	237	241	Tubulin alpha-8 chain (Alpha-tubulin 8). [Source:Uniprot/SWISSPROT;Acc:Q9NY65]
NM_033070	443	368	980	558	342	638	713	388	802	336	Cat eye syndrome critical region protein 5 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9BXW7]
NM_001002879	612	22	954	543	510	248	110	808	807	203	Protein C22orf19 (NF2/meningioma region protein pK1.3) (Placental protein 39.2). [Source:Uniprot/SWISSPROT;Acc:Q13769]
NM_031454	322	90	783	95	337	520	422	331	350	770	Selenoprotein O. [Source:Uniprot/SWISSPROT;Acc:Q9BVL4]
NM_001001852	440	71	462	303	653	746	245	295	345	571	Serine/threonine-protein kinase Pim-3 (EC 2.7.1.37). [Source:Uniprot/SWISSPROT;Acc:Q86V86]
NM_016327	336	496	803	586	440	825	653	244	674	976	Beta-ureidopropionase (EC 3.5.1.6) (Beta-alanine synthase) (N- carbamoyl-beta-alanine amidohydrolase) (BUP-1). [Source:Uniprot/SWISSPROT;Acc:Q9UBR1]
NM_014507	180	104	645	809	265	622	165	821	113	612	Malonyl CoA-acyl carrier protein transacylase, mitochondrial precursor (EC 2.3.1.39) (MCT) (Mitochondrial malonyltransferase). [Source:Uniprot/SWISSPROT;Acc:Q8IVS2]
NM_019106	24	464	414	375	710	598	101	46	495	868	Neuronal-specific septin-3. [Source:Uniprot/SWISSPROT;Acc:Q9UH03]
NM_000268	365	187	787	267	75	154	155	685	257	266	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_015366	938	719	802	319	833	514	48	466	383	939	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_030641	396	995	762	858	609	44	760	787	968	775	Apolipoprotein-L6 (Apolipoprotein L-VI) (ApoL-VI). [Source:Uniprot/SWISSPROT;Acc:Q9BWW8]
